Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_131x91_high_241113_212541_v1,spinnaker,8,5.195,1.193,0.726,0.571,0.0
Synthetic_131x91_high_241113_212612_v1,spinnaker,8,5.654,1.296,0.781,0.601,0.0
Synthetic_124x86_high_241113_213203_v1,spinnaker,9,4.318,1.367,0.5,0.421,0.0
Synthetic_124x86_high_241113_213234_v1,spinnaker,8,5.11,1.934,0.626,0.49,0.0
Synthetic_124x86_high_241113_213305_v1,spinnaker,8,5.191,1.476,0.681,0.535,0.0
Synthetic_124x86_high_241113_213336_v1,spinnaker,9,5.956,1.461,0.776,0.586,0.0
Synthetic_115x81_high_241113_213858_v1,spinnaker,8,3.661,1.418,0.426,0.348,0.0
Synthetic_115x81_high_241113_213959_v1,spinnaker,8,4.935,1.607,0.632,0.487,0.0
Synthetic_115x81_high_241113_214032_v1,spinnaker,9,5.5,1.526,0.698,0.53,0.0
Synthetic_115x81_high_241113_214102_v1,spinnaker,9,5.995,1.772,0.731,0.572,0.0
Synthetic_106x76_high_241113_214729_v1,spinnaker,9,5.368,2.108,0.607,0.465,0.01
Synthetic_106x76_high_241113_214801_v1,spinnaker,8,5.414,1.879,0.706,0.514,0.0
Synthetic_106x76_high_241113_214833_v1,spinnaker,8,6.067,2.13,0.803,0.564,0.0
Synthetic_96x70_high_241113_215420_v1,spinnaker,9,4.908,2.371,0.522,0.4,0.01
Synthetic_96x70_high_241113_215523_v1,spinnaker,9,5.811,2.334,0.725,0.485,0.0
Synthetic_96x70_high_241113_215554_v1,spinnaker,9,6.437,2.493,0.78,0.549,0.0
Synthetic_85x64_high_241113_220249_v1,spinnaker,9,6.373,3.394,0.677,0.468,0.01
Synthetic_85x64_high_241113_220320_v1,spinnaker,9,6.61,3.363,0.719,0.489,0.01
Synthetic_73x57_high_241113_221014_v1,spinnaker,9,6.21,3.212,0.681,0.492,0.01
Synthetic_73x57_high_241113_221045_v1,spinnaker,8,6.3,3.281,0.686,0.497,0.01
