Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_high_241013_164657_v9,gpu,19,10.128,1.563,0.595,0.525,0.0
Synthetic_high_241013_164657_v10,spinnaker,9,4.812,0.723,0.612,0.544,0.0
Synthetic_high_241013_164657_v10,gpu,19,10.026,1.575,0.589,0.522,0.0
Synthetic_high_241013_165537_v1,spinnaker,9,5.377,0.727,0.656,0.574,0.0
Synthetic_high_241013_165537_v1,gpu,19,10.976,1.695,0.627,0.566,0.0
Synthetic_high_241013_165537_v2,spinnaker,8,5.012,0.718,0.642,0.582,0.0
Synthetic_high_241013_165537_v2,gpu,19,10.788,1.64,0.605,0.556,0.0
Synthetic_high_241013_165537_v3,spinnaker,8,5.032,0.89,0.631,0.575,0.0
Synthetic_high_241013_165537_v3,gpu,19,10.879,1.649,0.614,0.563,0.0
Synthetic_high_241013_165537_v4,spinnaker,9,5.146,0.721,0.627,0.581,0.0
Synthetic_high_241013_165537_v4,gpu,19,10.568,1.61,0.631,0.553,0.0
Synthetic_high_241013_165537_v5,spinnaker,9,4.95,0.719,0.63,0.546,0.0
Synthetic_high_241013_165537_v5,gpu,19,11.167,1.735,0.666,0.578,0.0
Synthetic_high_241013_165537_v6,spinnaker,8,4.92,0.766,0.625,0.561,0.0
Synthetic_high_241013_165537_v6,gpu,19,10.79,1.669,0.613,0.561,0.0
Synthetic_high_241013_165537_v7,spinnaker,9,5.687,1.031,0.639,0.573,0.0
Synthetic_high_241013_165537_v7,gpu,19,10.891,1.703,0.623,0.563,0.0
Synthetic_high_241013_165537_v8,spinnaker,8,4.55,0.768,0.652,0.553,0.0
Synthetic_high_241013_165537_v8,gpu,19,11.191,1.725,0.651,0.584,0.0
Synthetic_high_241013_165537_v9,spinnaker,8,4.868,0.725,0.623,0.562,0.0
Synthetic_high_241013_165537_v9,gpu,19,11.251,1.753,0.639,0.579,0.0
Synthetic_high_241013_165537_v10,spinnaker,9,5.094,0.843,0.652,0.575,0.0
Synthetic_high_241013_165537_v10,gpu,19,11.255,1.726,0.643,0.576,0.0
Synthetic_high_241013_170414_v1,spinnaker,9,5.881,1.11,0.723,0.593,0.0
Synthetic_high_241013_170414_v1,gpu,19,11.788,1.858,0.673,0.613,0.0
Synthetic_high_241013_170414_v2,spinnaker,9,5.751,1.138,0.717,0.622,0.0
Synthetic_high_241013_170414_v2,gpu,19,11.414,1.768,0.666,0.595,0.0
Synthetic_high_241013_170414_v3,spinnaker,8,5.207,0.774,0.662,0.602,0.0
Synthetic_high_241013_170414_v3,gpu,19,12.157,1.889,0.691,0.625,0.0
Synthetic_high_241013_170414_v4,spinnaker,9,5.303,0.77,0.666,0.594,0.0
Synthetic_high_241013_170414_v4,gpu,19,12.646,1.958,0.752,0.648,0.0
Synthetic_high_241013_170414_v5,spinnaker,9,5.378,0.76,0.686,0.597,0.0
Synthetic_high_241013_170414_v5,gpu,19,11.545,1.785,0.654,0.595,0.0
Synthetic_high_241013_170414_v6,spinnaker,9,5.915,1.058,0.701,0.601,0.0
