Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Recording_mixed_241029_180545_v3,gpu,19,4.769,1.532,0.466,0.228,0.0325
Recording_mixed_241029_180545_v4,spinnaker,9,2.662,1.288,0.467,0.228,0.0105
Recording_mixed_241029_180545_v4,gpu,19,4.526,1.399,0.467,0.228,0.0235
Recording_mixed_241029_180545_v5,spinnaker,9,2.598,1.168,0.465,0.228,0.0075
Recording_mixed_241029_180545_v5,gpu,19,4.783,1.545,0.467,0.228,0.021
Recording_mixed_241029_181506_v1,spinnaker,10,3.097,1.963,0.46,0.186,0.2325
Recording_mixed_241029_181506_v1,gpu,19,5.635,2.941,0.46,0.186,0.3035
Recording_mixed_241029_181506_v2,spinnaker,10,2.858,1.666,0.46,0.186,0.2315
Recording_mixed_241029_181506_v2,gpu,19,5.78,3.158,0.46,0.186,0.308
Recording_mixed_241029_181506_v3,spinnaker,10,3.141,2.08,0.46,0.187,0.234
Recording_mixed_241029_181506_v3,gpu,19,5.761,3.102,0.459,0.186,0.3125
Recording_mixed_241029_181506_v4,spinnaker,10,2.801,1.684,0.461,0.187,0.2325
Recording_mixed_241029_181506_v4,gpu,19,5.583,2.946,0.46,0.186,0.306
Recording_mixed_241029_181506_v5,spinnaker,10,2.968,1.831,0.459,0.186,0.233
Recording_mixed_241029_181506_v5,gpu,19,5.707,3.137,0.46,0.187,0.3015
Recording_mixed_241029_181619_v1,spinnaker,11,4.72,3.301,0.465,0.226,0.0755
Recording_mixed_241029_181619_v1,gpu,20,5.508,2.551,0.462,0.228,0.1385
Recording_mixed_241029_181619_v2,spinnaker,11,3.833,2.562,0.463,0.228,0.118
Recording_mixed_241029_181619_v2,gpu,20,5.178,2.252,0.462,0.227,0.1065
Recording_mixed_241029_181619_v3,spinnaker,11,4.474,3.258,0.462,0.226,0.186
Recording_mixed_241029_181619_v3,gpu,20,5.998,3.092,0.462,0.226,0.1605
Recording_mixed_241029_181619_v4,spinnaker,11,3.941,2.568,0.464,0.228,0.122
Recording_mixed_241029_181619_v4,gpu,20,5.123,2.191,0.462,0.228,0.108
Recording_mixed_241029_181619_v5,spinnaker,10,3.689,2.479,0.463,0.227,0.1055
Recording_mixed_241029_181619_v5,gpu,20,5.419,2.486,0.466,0.228,0.121
Recording_mixed_241029_180739_v1,spinnaker,11,1.765,1.022,1.114,0.131,0.2065
Recording_mixed_241029_180739_v1,gpu,21,3.159,1.422,1.114,0.131,0.2445
Recording_mixed_241029_180739_v2,spinnaker,11,1.628,0.907,1.114,0.131,0.205
Recording_mixed_241029_180739_v2,gpu,21,3.322,1.527,1.116,0.13,0.23
Recording_mixed_241029_180739_v3,spinnaker,11,1.613,0.867,1.115,0.13,0.2045
Recording_mixed_241029_180739_v3,gpu,21,3.222,1.382,1.113,0.131,0.247
Recording_mixed_241029_180739_v4,spinnaker,11,1.586,0.854,1.113,0.131,0.203
Recording_mixed_241029_180739_v4,gpu,21,3.173,1.397,1.113,0.131,0.2535
Recording_mixed_241029_180739_v5,spinnaker,11,1.605,0.857,1.116,0.131,0.203
