board_id,chip_id,processor_id,vertex,SDRAM
0,40,17,output,1125128
0,54,1,SYSTEM:ExtraMonitor,488476
0,20,1,SYSTEM:ExtraMonitor,488476
0,20,2,output,1125128
0,20,3,output,1125128
0,20,4,output,1125128
0,20,5,output,1125128
0,20,6,output,1125128
0,20,7,output,1125128
0,20,8,output,1125128
0,20,9,output,1125128
0,20,10,output,1125128
0,27,1,SYSTEM:ExtraMonitor,488476
0,34,1,SYSTEM:ExtraMonitor,488476
0,41,1,SYSTEM:ExtraMonitor,488476
0,48,1,SYSTEM:ExtraMonitor,488476
0,55,1,SYSTEM:ExtraMonitor,488476
0,28,1,SYSTEM:ExtraMonitor,488476
0,35,1,SYSTEM:ExtraMonitor,488476
0,42,1,SYSTEM:ExtraMonitor,488476
0,49,1,SYSTEM:ExtraMonitor,488476
0,56,1,SYSTEM:ExtraMonitor,488476
